,సినిమా పేరు,దర్శకుడు,నటులు,శైలి,తేదీ,సంవత్సరం,నెల
2584,అందాల ఓ చిలక,బి. గోపాల్,"ధనుష్, సిరి",శృంగారం,2000-06-30,2002,6
2586,కుటుంబ సర్కస్,తేజ,"జగపతి బాబు, రాజేంద్ర ప్రసాద్, రోజా",హాస్యం,2000-06-30,2002,6
2587,రేపల్లెలో రాధా,సరితా,"దిలీప్, గుమ్మడి, సత్యన్నారాయణ",నాటకం,2000-06-30,2002,6
2588,వయసు,సాయి సాగర్,"రమేష్ మిత్ర, యాద కృష్ణ",శృంగారం,2000-06-30,2002,6
2589,బావ నచ్చదు,కెఎస్ రవికుమార్,"నాగార్జున, సిమ్రాన్, రీమా సేన్",శృంగారం,2000-06-30,2002,6
2590,భల్వాడివి బసు,సంగీత స్థాయి యొక్క ఐదవ గమనిక. . అరుణ్ ప్రసాద్,"బాలకృష్ణ నందమూరి, శిల్పా శెట్టి, అంజలి జవేరి",శృంగారం,2000-06-30,2002,6
2591,శ్రీ మంజునాథ,కె. రాఘవేంద్రరావు,"అర్జున్, సౌందర్య, చిరంజీవి, మీనా",భక్తిప్రపత్తులు,2000-06-30,2002,6
2592,వేచి ఉంటా,శ్రీరామ్ మూర్తి,"రాజు, శ్రేష్ఠుడు, శ్రీకృష్ణుడు",శృంగారం,2000-06-30,2002,6
2593,కలిసి నడుద్దాం,కోడి రామకృష్ణ,"శ్రీకాంత్, సౌందర్య, రామ ప్రభ, బ్రహ్మానందం",నాటకం,2000-06-30,2002,6
2594,ఖాకీ చొక్కా,విక్కై,"సాయి కుమార్, నీలాంబరి, థ్రిల్లర్ మంజు",చర్య,2000-06-30,2002,6
2595,సింహరాశి,V. సముద్ర,"రాజశేఖర్, సాక్షి శివానంద్",కుటుంబం,2000-06-30,2001,6
2596,అటు అమెరికా-అది ఇండియా,గుమ్మలూరి శాస్ట్రీ,"విజయ్ నైనఁ, వెనెస్సా, సన్నీ",సామాజిక,2000-06-30,2001,6
2597,రమ్మ చిలకమ్మా,హర్డోగాతో తిరుగుబాటు,"సుమంత్, లయ",కుటుంబం,2000-06-30,2001,6
2598,సంపంగి,Snaidi దేవుడు నిన్ను ఆశీర్వదిస్తాడు,"కంచి కాల్, అర్జన్ బజ్వా, దీపక్",శృంగారం,2000-06-30,2001,6
2599,నా మానసిస్తా రా,ఆర్.ఆర్.షిండే,"శ్రీకాంత్, రిచా, సౌందర్య",శృంగారం,2000-06-30,2001,6
2600,జాక్‌పాట్,మిస్టర్ కాశీనాథ్,"కాశీనాథ్, నవీన, ల. బి. శ్రీరామ్, జయ ప్రకాశ్ రెడ్డి",నాటకం,2000-06-30,2001,6
2602,తొలి వలపు,ముత్యాల సుబ్బయ్య,"గోపీచంద్, స్నేహ",శృంగారం,2000-06-30,2001,6
2603,మంచి పనులు,రవి రాజా పినిశెట్టి,"రాజశేఖర్, నవీన్, ఆశా సైనీ",నాటకం,2000-06-30,2001,6
2604,భార్య,రవిపల్లి రాంబాబు,"శివాజీ, ప్రీత విజయకుమార్",శృంగారం,2000-06-30,2001,6
2605,నువ్వు నేను,తేజ,"ఉదయ్ కిరణ్, అనిత",శృంగారం,2000-06-30,2001,6
2606,ఎవడ్రా రౌడీ,శరత్,"శ్రీహరి, సంఘవి, సుజాత",చర్య,2000-06-30,2001,6
2607,తార,మణిరాజ్,"ఆకాష్, రితిక, గుండు హనుమంత రావు",నాటకం,2000-06-30,2001,6
2608,శుభాశీస్సులు,ఎం నాగార్జున రెడ్డి,"అనిల్ రాజ్, వర్ష, గిరి బాబు",శృంగారం,2000-06-30,2001,6
2609,ఆకాశ వీధిలో,సింగీతం శ్రీనివాస రావు,"నాగార్జున, రవీనా టాండన్",నాటకం,2000-06-30,2001,6
2610,చెప్పాలని వుంది,చంద్ర మహేష్,"నవీన్, రాసి, కంచి కౌల్",శృంగారం,2000-06-30,2001,6
2611,చందు,వీరు కే,"పవన్ కుమార్, అర్చన, ప్రీతీ, ల. బి. శ్రీరామ్",శృంగారం,2000-06-30,2001,6
2612,నాలో వున్నా ప్రేమ,ప్రతాప్,"జగపతి బాబు, గజాల, లయ",శృంగారం,2000-06-30,2001,6
2613,నువ్వు నాకు నచ్చావ్,విజయ భాస్కర్,"వెంకటేష్, ఆర్తి అగర్వాల్",హాస్యం,2000-06-30,2001,6
2614,ఇట్లు శ్రావణి సుబ్రహ్మణ్యం,మొత్తం జగన్నాధ్,"రవి తేజ, తాను రాయ్",శృంగారం,2000-06-30,2001,6
2615,అధిపతి,రవి రాజా పినిశెట్టి,"మోహన్ బాబు, నాగార్జున, ప్రీతి ఝాన్గిన్ని, సౌందర్య",చర్య,2000-06-30,2001,6
2616,ఇదే నా మొదటి ప్రేమలేఖ,జి. నాగేశ్వర రెడ్డి,"జయరామ్, రిమి సేన్",శృంగారం,2000-06-30,2001,6
2618,చిరుజల్లు,శ్రీరామ్ బాలాజీ,"తరుణ్, రిచా పల్లోడ్",శృంగారం,2000-06-30,2001,6
2619,విద్యార్థి నం.1,ఎస్.ఎస్.రాజమౌళి,"ఉంటే. ఎన్టీఆర్, గజాల",నాటకం,2000-06-30,2001,6
2620,ఆనందం,శ్రీను వైట్ల,"జై ఆకాష్, రేఖ వేద్ వ్యాస్",శృంగారం,2000-06-30,2001,6
2621,టైమ్ పాస్,సంఫిరెడ్డి దశరధ్,"అజయ్, ఆశ సైని, జనార్ధన్ మహర్షి",హాస్యం,2000-06-30,2001,6
2622,నాన్న,సురేష్ కృష్ణ,"చిరంజీవి, సిమ్రాన్, అషిమా భల్ల",నాటకం,2000-06-30,2001,6
2623,సుబ్బారావు గారికి ధన్యవాదాలు,ఏ. వ్. వ్. సత్యనారాయణ,"శ్రీహరి, ప్రకాష్ రాజ్, రమ్య కృష్ణ",నాటకం,2000-06-30,2001,6
2624,మనసంతా నువ్వే,V. N. ఆదిత్య,"ఉదయ్ కిరణ్, రీమా సేన్",శృంగారం,2000-06-30,2001,6
2625,ప్రేమ సందడి,సంగీత స్థాయి యొక్క ఐదవ గమనిక. . అరుణ్ ప్రసాద్,"శ్రీకాంత్, అంజలి జవేరి",శృంగారం,2000-06-30,2001,6
2626,స్నేహితుడా,కె ఎస్ నాగేశ్వర్ రావు,"శివాజీ, రాకేష్, రీనా",కాదు_నిర్దిష్ట,2000-06-30,2001,6
2627,స్నేహమంటే ఇదేరా,జుట్టు తొలగింపు,"నాగార్జున, సుమంత్, Bhoomika Chawla",నాటకం,2000-06-30,2001,6
2628,ముత్యం,వాసన్,"రోహిత్, అను",శృంగారం,2000-06-30,2001,6
2629,రా,కె. ఎస్. నాగేశ్వర్ రావు,"ఉపేంద్ర, ప్రియాంక ఉపేంద్ర",రొమాంటిక్ డార్క్ కామెడీ,2000-06-30,2001,6
2630,హైదరాబాద్,అయ్యప్ప పీ శర్మ,"అయ్యప్ప పీ శర్మ, వేణు మాధవ్, ప్. జ్. శర్మ",సామాజిక,2000-06-30,2001,6
2631,అమ్మాయే నవ్వితే,జ్యోతి కుమార్,"రాజేంద్ర ప్రసాద్, భావన, బ్రహ్మానందం",నాటకం,2000-06-30,2001,6
2632,వీడెక్కడి మొగుడండీ?,ఏ. వ్. వ్. సత్యనారాయణ,"వేణు, శృతి రాజ్, గీతూ మోహన్ దాస్",హాస్యం,2000-06-30,2001,6
2633,జాబిల్,S. V. కృష్ణా రెడ్డి,"దిలీప్, రేఖ వేదవ్యాస్",శృంగారం,2000-06-30,2001,6
2634,పరవశం,కే.బాలచందర్,"ఆర్. మాధవన్, సిమ్రాన్ బగ్గా, స్నేహ, లారెన్స్ రాఘవేంద్ర",శృంగారం,2000-06-30,2001,6
2635,అతను,సత్యం బాబు,"సాయి కుమార్, రచన, రవి వర్మ",నాటకం,2000-06-30,2001,6
2636,లిటిల్ హార్ట్స్,శ్రీకాంత్,"ఆర్. వెంకటేశ్వరావు, గాయత్రి ప్రియ, మురళీ మోహన్, ఎం. ఎస్. నారాయణ",విద్యాపరమైన,2000-06-30,2001,6
2637,భద్రాచలం,లేదు.శంకర్,"శ్రీహరి, సింధు మీనన్",చర్య,2000-06-30,2001,6
2638,హనుమాన్ జంక్షన్,మోహన్ రాజా,"జగపతి బాబు, అర్జున్",నాటకం,2000-06-30,2001,6
2639,సుబ్బు,రుద్రరాజు సురేష్ వర్మ,"ఉంటే. ఎన్టీఆర్, సోనాలి జోషి",చర్య,2000-06-30,2001,6
2640,డార్లింగ్ డార్లింగ్,V. సముద్ర,"శ్రీకాంత్, షాహీన్ ఖాన్, సాయి కిరణ్",శృంగారం,2000-06-30,2001,6
2641,ఇష్టం,విక్రమ్ కుమార్,"చరణ్, శ్రియ శరణ్",శృంగారం,2000-06-30,2001,6
2648,సీమ సింహం,c. రామ్ ప్రసాద్,"నందమూరి బాలకృష్ణ, సిమ్రాన్, రీమా సేన్, ప్. వాసు",చర్య,2002-01-11,2002,1
2649,టక్కరి దొంగ,జయంత్ సి. పరాంజీ,"మహేష్ బాబు, లిసా రే, బిపాషా బసు, కృష్ణ ఘట్టమనేని",చర్య,2002-01-12,2002,1
2650,నువ్వు లేక నేను లేను,వై. కాశీ విశ్వనాథ్,"తరుణ్, ఆర్తి అగర్వాల్, లయ, శరత్ బాబు",శృంగారం,2002-01-14,2002,1
2651,ప్రేమకు స్వగతం,S. V. కృష్ణా రెడ్డి,"జ్. డ్. చక్రవర్తి, సౌందర్య",శృంగారం,2002-01-18,2002,1
2652,ప్రియ నేస్తమా,ఆర్. గణపతి,"వేణు, మాళవిక, షమ",శృంగారం,2002-01-25,2002,1
2653,ఓ చిన్నదానా,ఇ. సతిబాబు,"శ్రీకాంత్, రాజా, గజాల, ఆశ సైని, శృతి రాజ్",హాస్యం,2002-01-25,2002,1
2654,నీతోనే ఉంటాను,టి.ప్రభాకర్,"ఉపేంద్ర, సంఘవి, రచన బనెర్జీ",శృంగారం,2002-02-01,2002,2
2655,రాఘవ,వై. నాగేశ్వర్ రావు,"సురేష్, రాజశ్రీ, కోట శ్రీనివాస రావు, బ్రహ్మానందం",నాటకం,2002-02-01,2002,2
2656,కలుసుకోవాలని,రఘు రాజ్,"ఉదయ్ కిరణ్, గజాల, ప్రత్యూష",శృంగారం,2002-02-08,2002,2
2657,కొండవీటి సింహాసనం,దాసరి నారాయణరావు,"మోహన్ బాబు, సౌందర్య, ఉదయ భాను",చర్య,2002-02-08,2002,2
2658,నేను నిన్ను ప్రేమిస్తున్నాను,c. హరిబాబు,"ప్రసన్న, కీర్తి షహీన్, అమృత, ఆహుతి ప్రసాద్",శృంగారం,2002-02-14,2002,2
2659,చంద్రవంశం,జె. కె. నింపబడినది,"కృష్ణ ఘట్టమనేని, జయప్రద, శివాజీ, రోహిత్",నాటకం,2002-02-15,2002,2
2661,రమణ,శివ నాగేశ్వరరావు,"రాజేంద్ర ప్రసాద్, మహి, బ్రహ్మానందం, తనికెళ్ళ భరణి",యాక్షన్ / కామెడీ,2002-02-26,2002,2
2662,వివాహ పత్రిక,సుబ్బురాజు,"బబ్లూ ప్రిథ్వీరాజ్, సంఘవి, బ్రహ్మానందం, ఫణిరాజ్ కుమార్",శృంగారం,2002-02-26,2002,2
2663,శేషు,జీవితా రాజశేఖర్,"రాజశేఖర్, కళ్యాణి, నాసర్",చర్య,2002-02-28,2002,2
2664,నీ ప్రేమకై,ముప్పులనేని శివ,"వినీత్, అబ్బాస్, లియా, సోనియా అగర్వాల్",శృంగారం,2002-03-01,2002,3
2666,నీతో చెప్పాలని,బి. సత్య నాయుడు,"ఆకాష్, అనుప్రియ, అషిత",శృంగారం,2002-03-08,2002,3
2668,మీ కోసం,v. జనార్దన్,"రమ్యశ్రీ, సమరం, షర్మిల",డాక్యుమెంటరీ,2002-03-15,2002,3
2669,నువ్వుంటే చాలు,అచ్యుత్ రెడ్డి,"ఆదర్శ్, గోల్డెన్ రాజ్",శృంగారం,2002-03-22,2002,3
2670,ఎంత బాగుందో,హద్రోగా పండ్లు,"సాయి కిరణ్, రోహిత్, లయ",శృంగారం,2002-03-22,2002,3
2671,చెలియా చెలియా చిరు కోపమా,సాయి శ్యామ్,"నివాసం, శిఖా సిన్హా",శృంగారం,2002-03-22,2002,3
2672,ఆది,వి.వి.వినాయక్,లాగండి. కుదుపు సులభం,చర్య,2002-03-28,2002,3
2673,నీ తోడు కావాలి,భీమనేని శ్రీనివాస్ రావు,"దీపక్, ఛార్మీ కౌర్, రిమీ సేన్",శృంగారం,2002-03-28,2002,3
2674,ఆడుతూ పాడుతూ,దేవీ ప్రసాద్,"శ్రీకాంత్, సునీల్, గాయత్రి జయరామన్",శృంగారం,2002-04-04,2002,4
2675,వాసు,a. కరణకరణ్,"వెంకటేష్, Bhoomika Chawla",శృంగారం,2002-04-10,2002,4
2676,ప్రియదర్శిని,ధవళ మల్లిక్,"సూర్య వంశి, సునీత వర్మ, బ్రహ్మానందం",నాటకం,2002-04-10,2002,4
2677,బెజవాడ పోలీస్ స్టేషన్,చీమకుర్తి హరిబాబు,"కేశవ్, శిల్పా శివానంద్, బ్రహ్మాజీ, అలీ, చిన్నా",నాటకం,2002-04-13,2002,4
2679,నరహరి,థ్రిల్లర్ మంజు,"సాయి కుమార్, థ్రిల్లర్ మంజు, శ్రీదేవి",చర్య,2002-04-19,2002,4
2680,మనసుంటే చాలు,జొన్నలగడ్డ శ్రీనివాస రావు,"సాయి కిరణ్, శివాజీ, జెన్నిఫర్ కొత్వాల్",శృంగారం,2002-04-25,2002,4
2681,ఈ విధంగా,శ్యామ్ ప్రసాద్,"సచిన్, సంపద, చలపతి రావు",శృంగారం,2002-04-25,2002,4
2682,లాహిరి లాహిరి లాహిరిలో,వై. వ్. స్. చౌదరి,"నందమూరి హరికృష్ణ, భానుప్రియ, రచన బనెర్జీ, అంకిత",నాటకం,2002-05-01,2002,5
2683,వెండి మబ్బులు,రవిరాజా పినిశెట్టి,"బాలయ్య, పులకిత్, అనిల్, మొన చోప్రా, మేఘన నాయుడు, మితిక",శృంగారం,2002-05-03,2002,5
2685,అల్లరి,లిఫ్ట్ తలుపు,"నరేష్, అనురాధ మెహతా",హాస్యం,2002-05-10,2002,5
2686,మనసుతో,రవి కుమార్ చౌదరి,"జై ఆకాష్, అర్జూ గోవిత్రికర్, ఖయ్యామ్",శృంగారం,2002-05-17,2002,5
2687,సహస బాలుడు విచిత్ర కోతి,దశరథ్ రాజు,"విజయశాంతి, బ్రహ్మానందం, శరత్ బాబు, సుధా",సాహసం,2002-05-17,2002,5
2688,తప్పు చేసి పప్పు కూడు,ఆ. కోదండరామి రెడ్డి,"మోహన్ బాబు, శ్రీకాంత్, గ్రేసీ సింగ్",హాస్యం,2002-05-22,2002,5
2689,రెండు,ఏ. వ్. వ్. సత్యనారాయణ,"ఆర్యన్ రాజేష్, నికితా తుక్రాల్",శృంగారం,2002-05-24,2002,5
2690,వూరు మనదీరా,ఆర్. నారాయణ మూర్తి,"ఆర్. నారాయణ మూర్తి, సిద్దప్ప నాయుడు",నాటకం,2002-05-31,2002,5
2691,దేవి నాగమ్మ,జలహరి,"ప్రేమ, బేబీ దీపికా, జేసీకీ, మని చందన, మాడ, సోమయాజులు, జీవ",నాటకం,2002-06-01,2002,6
2692,అదృష్టం,నేర్చుకోవడం ప్రారంభించండి,"తరుణ్, గజాల, రీమా సేన్, ఆశ సైని",శృంగారం,2002-06-06,2002,6
2693,జయం,తేజ,"నితిన్, సదా, తొట్టెంపూడి గోపీచంద్",యాక్షన్ / రొమాన్స్,2002-06-14,2002,6
2694,హృదయాంజలి,ఎ. రఘురామి రెడ్డి,"సంజయ్ మిత్ర, గిరిజా షెట్టర్",శృంగారం,2002-06-14,2002,6
2695,శ్రీరామ్,V. N. ఆదిత్య,"ఉదయ్ కిరణ్, అనిత హస్సానందని, ఆశిష్ విద్యార్ధి",శృంగారం,2002-06-21,2002,6
2696,నీతో,బి. సత్య నాయుడు,"సూర్యప్రకాష్, ఆషిత, అనుకుం ప్రియ, గిరిబాబు, సుధాకర్",నాటకం,2002-06-27,2002,6
2697,కనులు మూసినా నీవాయే,మంజుల నాయుడు,"దీపక్, అర్చన",శృంగారం,2002-06-28,2002,6
2698,జనం,అయ్యప్ప పీ. శర్మ,"సాయి కుమార్, వాణి విశ్వనాధ్, థ్రిల్లర్ మంజు, జారిన",చర్య,2002-07-05,2002,7
2699,గర్ల్ ఫ్రెండ్,జి. నాగేశ్వర రెడ్డి,"రోహిత్, అనితా పాటిల్",శృంగారం,2002-07-05,2002,7
2700,అల్లరి రాముడు,బి. గోపాల్,"జేరి. ఎన్టీఆర్, ఆర్తి అగర్వాల్, గజాల",చర్య,2002-07-18,2002,7
2701,ఇంద్రుడు,బి. గోపాల్,"చిరంజీవి, సోనాలి బెంద్రే, ఆర్తి అగర్వాల్",యాక్షన్/డ్రామా,2002-07-24,2002,7
2702,అవును వాళ్లిద్దరు ఇస్తా పడ్డారు!,వంశి,"రవితేజ, కళ్యాణి",శృంగారం,2002-08-02,2002,8
2704,నోరు స్తంభించిపోయింది,అశోక్ కుమార్,"జాకీర్, సిరి, కే. విశ్వనాధ్",శృంగారం,2002-08-09,2002,8
2705,వెధవ,మొత్తం జగన్నాధ్,"రవి తేజ, రక్షిత",యాక్షన్ / రొమాన్స్,2002-08-22,2002,8
2706,సొంతం,శ్రీను వైట్ల,"ఆర్యన్ రాజేష్, నమిత, రోహిత్, సునీల్",శృంగారం,2002-08-22,2002,8
2707,హోలీ,ప్రసాద్ గా ఉండండి,"ఉదయ్ కిరణ్, రిచా పలోడ్, సునీల్",శృంగారం,2002-08-30,2002,8
2708,పృథ్వి నారాయణ,పి. వాసు,"శ్రీహరి, విజయలక్ష్మి, మేఘన నాయుడు, లక్ష్మి",చర్య,2002-08-30,2002,8
2709,ప్రేమ సాక్షిగా,v. జ్యోతి కుమార్,"విజయ్, శ్వేతా, అంజలి, స్రావం",శృంగారం,2002-08-30,2002,8
2710,భరత సింహ రెడ్డి,సూర్యకాంతి,"రాజశేఖర్, మీనా, గజాల, రవళి, బ్రహ్మానందం",చర్య,2002-09-06,2002,9
2711,మనమిద్దరం,గోసంగి సుబ్బా రా,"రాజా శ్రీధర్, సోనాలి జోషి, లాహిరి",శృంగారం,2002-09-13,2002,9
2712,ఖైది బ్రదర్స్,సహర్,"సాయి కుమార్, లక్ష్మణ్, రామ, సూర్య ప్రకాష్, రేఖ",చర్య,2002-09-13,2002,9
2713,ఒకటో నెంబర్ కుర్రాడు,ఆ. కోదండరామి రెడ్డి,"నందమూరి తారక రత్న, రేఖ వేదవ్యాస్, బ్రహ్మానందం",యాక్షన్ / రొమాన్స్,2002-09-18,2002,9
2714,చెన్నకేశవ రెడ్డి,వి.వి.వినాయక్,"నందమూరి బాలకృష్ణ, శ్రియ శరణ్, టబు, దేవయాని",చర్య,2002-09-25,2002,9
2715,మళ్ళి మళ్ళి చూడాలి,పవన్ శ్రీధర్,"వేణు, జనని",శృంగారం,2002-09-25,2002,9
2717,ప్రేమ దొంగ,రమణ,"శ్రీహరి, సౌందర్య, వినోద్",చర్య,2002-10-02,2002,10
2718,వితంతువు,కోడి రామకృష్ణ,"అజ్జు, స్రావం, ఆకృతి",చర్య,2002-10-02,2002,10
2719,నువ్వే నువ్వే,త్రివిక్రమ్ శ్రీనివాస్,"తరుణ్, శ్రియా శరణ్, ప్రకాష్ రాజ్",శృంగారం,2002-10-10,2002,10
2720,జెమిని,సూచన,"వెంకటేష్, నమిత, ముంతాజ్",చర్య,2002-10-11,2002,10
2721,"ధనలక్ష్మి, ఐ లవ్ యూ",శివ నాగేశ్వరరావు,"అల్లరి నరేష్, ఆదిత్య ఓం, నరేష్, అంకిత",శృంగారం,2002-10-18,2002,10
2722,పిలిస్తే పలుకుతా,కోడి రామకృష్ణ,"జై ఆకాష్, షమితా శెట్టి",శృంగారం,2002-10-18,2002,10
2723,పోలీస్ సిస్టర్స్,విక్కీ,"రోజా, రాసి, శ్రీధర్, బ్రహ్మానందం",చర్య,2002-10-18,2002,10
2724,బాబీ,శోభన్,"మహేష్ బాబు, ఆర్తీ అగర్వాల్",చర్య,2002-10-31,2002,10
2725,నీ స్నేహం,పరుచూరి మురళి,"ఉదయ్ కిరణ్, ఆర్తి అగర్వాల్, జతిన్ గ్రేవాల్",శృంగారం,2002-11-01,2002,11
2726,శివ రామ్ రాజు,V. సముద్ర,"జగపతి బాబు, మౌనిక, వెంకట్, నందమూరి హరికృష్ణ",చర్య,2002-11-01,2002,11
2727,ఈశ్వర్,జయంత్ సి. పరాంజీ,"ప్రభాస్, శ్రీదేవి విజయకుమార్, రేవతి",యాక్షన్ / రొమాన్స్,2002-11-10,2002,11
2728,2 చాలా,కే. వీరు,"బాలాకుమార్, రితిక, అలీ",కాదు_నిర్దిష్ట,2002-11-22,2002,11
2729,ఖడ్గన్,కృష్ణ వంశీ,"రవి తేజ, శ్రీకాంత్, సోనాలి బెంద్రే, ప్రకాష్ రాజ్, కిమ్ శర్మ, సంగీత",చర్య,2002-11-29,2002,11
2730,ఒక యువ రత్నం,యు.నారాయణరావు,"నందమూరి తారక రాం, జీవిత",చర్య,2002-11-29,2002,11
2731,తొట్టి గ్యాంగ్,ఏ. వ్. వ్. సత్యనారాయణ,"అల్లరి నరేష్, ప్రభు దేవా, సునీల్, అనిత, గజాల",శృంగారం,2002-12-06,2002,12
2732,త్రినేత్రం,కోడి రామకృష్ణ,"సిజ్జూ, రాశి",చర్య,2002-12-06,2002,12
2733,సందడే సందడి,ముప్పలనేని శివ,"రాజేంద్ర ప్రసాద్, జగపతి బాబు, రాసి",హాస్యం,2002-12-13,2002,12
2735,ప్రేమలో పావని కళ్యాణ్,ధ్రువ ఘటికాచలం,"దీపక్, అంకిత",శృంగారం,2002-12-13,2002,12
2736,మన్మధుడు,కె. విజయ భాస్కర్,"నాగార్జున, సోనాలి బింద్రే, అన్షు",శృంగారం,2002-12-20,2002,12
2737,నిన్ను చూడక నేనుండలేను,ఆర్ శ్రీనివాస్,"సచిన్, భావా పానీ",శృంగారం / నాటకం,2002-12-20,2002,12
2739,ఒక మహిళ,డి.కె.సురేష్,"జూనియర్ ఎన్టీఆర్, సదా, జెన్నిఫర్, రఘువరన్, నాజర్",చర్య,2003-01-10,2003,1
2740,ఎవరే అతగాడు,భాను శంకర్,"వల్లభ్, జయ సీల్, ప్రియమణి, బ్రహ్మానందం",శృంగారం,2003-01-11,2003,1
2741,ఈ అబ్బాయి చాలా మంచోడు,అగతీయులు,"రవి తేజ, సంగీత, వాణి",నాటకం,2003-01-14,2003,1
2742,ఒక్కడు,గుణశేఖర్,"మహేష్ బాబు, Bhoomika Chawla, ప్రకాష్ రాజ్",యాక్షన్ / రొమాన్స్,2003-01-15,2003,1
2743,పెళ్ళాం ఊరెళితే,S. V. కృష్ణా రెడ్డి,"శ్రీకాంత్, వేణు, రక్షిత, సంగీత, బ్రహ్మానందం, సునీల్",హాస్యం,2003-01-15,2003,1
2744,జూనియర్స్,జె. పుల్లారావు,"అల్లరి నరేష్, షెరీన్, పవన్, ప్రకాష్ రాజ్",శృంగారం,2003-01-24,2003,1
2745,అమ్మాయిలు అబ్బాయిలు,లిఫ్ట్ తలుపు,"విజయ్, మోహిత్, విద్య, సోనూ సూద్, దేవినా, స్వప్న మాధురి",శృంగారం,2003-01-30,2003,1
2746,ఇది మా అశోకగది లవ్ స్టొరీ,సురేష్ కృష్ణ,"శివ బాలాజీ, శ్వేతా అగర్వాల్, కంచి కాల్",శృంగారం,2003-01-31,2003,1
2747,మూర్ఖులు,దాసరి నారాయణరావు,"దాసరి నారాయణ రావు, శ్రీనాథ్, గజాల, కోవై సరళ",కామెడీ / శృంగారం,2003-02-06,2003,2
2748,ఉత్సాహం,అల్లాణి శ్రీధర్,"సాయి కిరణ్, సునీత వర్మ, అమర్",శృంగారం,2003-02-07,2003,2
2749,కబడ్డీ కబడ్డీ,గెలుచుటకు,"జగపతి బాబు, కళ్యాణి, సూర్య, జీవ",కామెడీ / శృంగారం,2003-02-16,2003,2
2750,గోల్మాల్,పి ఎన్ రామచంద్రరావు,"జ్. డ్. చక్రవర్తి, నేహా, రమేష్ అరవింద్, మీరా వాసుదేవన్, గిరి బాబు, జయప్రకాశ్, బ్రహ్మానందం",హాస్యం,2003-02-21,2003,2
2751,ఇందిరమ్మ,అమ్మినేని మాధవ సాయి,"విజయశాంతి, అచ్యుత్, విజయకుమార్",సామాజిక,2003-02-26,2003,2
2752,విజయం,సింగీతం శ్రీనివాసరావు,"రాజా, గజాల, సునీల్, మురళీ మోహన్",హాస్యం,2003-03-09,2003,3
2753,రాఘవేంద్ర,సురేష్ కృష్ణ,"ప్రభాస్, శ్వేతా అగర్వాల్, అన్షు, బ్రహ్మానందం, మురళీ మోహన్",చర్య,2003-03-28,2003,3
2754,గంగోత్రి,కె. రాఘవేంద్రరావు,"అల్లు అర్జున్, అదితి అగర్వాల్, సుమన్, ప్రకాష్ రాజ్",శృంగారం,2003-03-28,2003,3
2755,హరి విల్లు,బి. నర్సింగ్ రావు,"భానుచందర్, హరిత, మాస్టర్ సాయి సుభాకర్, బేబీ నిత్యా",నాటకం,2003-04-02,2003,4
2756,తారక్,జుట్టు తొలగింపు,"సంఖ్య టి. రత్న, షర్మిలి, కృష్ణ",శృంగారం,2003-04-03,2003,4
2757,కార్తీక్,మురళీ రాజు,"ముఖేష్, కనిష్క",శృంగారం,2003-04-03,2003,4
2758,నాలుక,వి.వి.వినాయక్,"నితిన్, నేహా, ప్రకాష్ రాజ్",యాక్షన్ / రొమాన్స్,2003-04-04,2003,4
2759,అయితే,చంద్రశేఖర్ యేలేటి,"శశాంక్, సింధు తోలానీ, అభిషేక్, మోహిత్",థ్రిల్లర్,2003-04-11,2003,4
2760,అమ్మ నాన్న ఓ తమిళ అమ్మాయి,మొత్తం జగన్నాధ్,"రవి తేజ, ఆసిన్, జయసుధ, ప్రకాష్ రాజ్, అలీ",నాటకం,2003-04-19,2003,4
2761,జానీ,పవన్ కళ్యాణ్,"పవన్ కళ్యాణ్, రేణు దేశాయ్, రఘువరన్, ఎం. ఎస్. నారాయణ",చర్య,2003-04-25,2003,4
2762,విల్లు,నల్లముత్తు శ్రీనివాసరావు,"వడ్డే నవీన్, కిరణ్ గిల్, శివాజీ రాజా, బ్రహ్మానందం",చర్య,2003-04-26,2003,4
2763,ఒట్టేసి చెపుతున్న,a. సహచరుడు బాబు,"శ్రీకాంత్, శివాజీ, స్రవంతి, అనిత పటేల్, సునీల్",హాస్యం,2003-04-26,2003,4
2764,అప్పుడప్పుడు,చంద్ర సిద్ధార్థ,"రాజా, శ్రీయ రెడ్డి, జయసుధ, కైకాల సత్యనారాయణ",శృంగారం,2003-05-16,2003,5
2765,మా బాబుబొమ్మకి పెళ్ళంటా,రవిరాజా పినిశెట్టి,"అరవింద్, గాయత్రి రఘురామ్, అజయ్ రాఘవేంద్ర, M. S. నారాయణ",హాస్యం,2003-05-18,2003,5
2767,నిజం,తేజ,"మహేష్ బాబు, గోపీచంద్, రక్షిత, రాసి",నాటకం,2003-05-23,2003,5
2768,పల్నాటి బ్రాహ్మణుడు,బి. గోపాల్,"నందమూరి బాలకృష్ణ, సోనాలి బింద్రే, ఆర్తీ అగర్వాల్, ముఖేష్ రిషి",చర్య,2003-06-05,2003,6
2769,నిన్నే ఇష్టపదాను,గనిలో,"తరుణ్, శ్రీదేవి విజయకుమార్, అనిత, గిరి బాబు",శృంగారం,2003-06-12,2003,6
2770,ఒక రాజు ఒక రాణి,యోగి ఎం,"రవి తేజ, నమిత, బ్రహ్మానందం, తనికెళ్ళ భరణి, ఎం. స్. నారాయణ",శృంగారం,2003-06-19,2003,6
