Title,Director,Production,Music Composer,Cast,Genre,Release Date,Year
Ramadasu,Chittor V. Nagaiah,,,Chittor V. Nagaiah,,1964,1964
Ramudu Bheemudu,Tapi Chanakya,,,N. T. Rama Rao,Drama,1964,1964
Sabhash Suri,I. N. Murthy,,,N. T. Rama Rao,,1964,1964
Sri Satyanarayana Mahathyam,S. Rajinikanth,,,N. T. Rama Rao,,1964,1964
Sri Tirupatamma Katha,B. S. Narayana,,,N. T. Rama Rao,,1964,1964
Vaarasatwam,Tapi Chanakya,,,N. T. Rama Rao,,1964,1964
Vivaha Bandham,P. S. Ramakrishna Rao,,,N. T. Rama Rao,Drama,1964,1964
Aadavaallu Meeku Joharlu,K. Balachander,,,Jayamalini,,1981,1981
Aakali Rajyam,K. Balachander,,,Kamal Haasan,,1981,1981
Addala Meda,Dasari Narayana Rao,,,Mohan Babu,,1981,1981
Aggi Ravva,K. Bapaiah,,,N. T. Rama Rao,,1981,1981
Agni Poolu,K. Bapaiah,,,Krishnamraju,,1981,1981
Alludugaru Zindabad,Subba Rao Katta,,,Gummadi,,1981,1981
Amavasya Chandrudu,Singeetam Srinivasa Rao,,,Kamal Haasan,,1981,1981
Antham Kadidi Aarambam,Vijaya Nirmala,,,Krishna,,1981,1981
Asha Jyoti,T. Prakash Rao,,,Gummadi,,1981,1981
Babulugaadi Debba,K. Vasu,,,Krishnam Raju,Action,1981,1981
Bala Nagamma,K. Shankar,,,Sarath Babu,,1981,1981
Bhoga Bhagyalu,P. Chandrasekhara Reddy,,,Gummadi,,1981,1981
Bhogimanthulu,Vijaya Nirmala,,,Rati Agnihotri,,1981,1981
Chattaniki Kallu Levu,S. A. Chandrasekhar,,,Chiranjeevi,,1981,1981
Chinnaari Chittibaau,Gopalakrishnan,,,,,1981,1981
Dabbu Dabbu Dabbu,Vijaya Baapineedu,,,Mohan Babu,,1981,1981
Devudu Mamayya,K. Vasu,,,Shobhan Babu,,1981,1981
Guru Sishyulu,K. Bapayya,,,ANR,,1981,1981
Illalu,Rama Rao Tatineni,,,Shobhan Babu,,1981,1981
Jeevitha Ratham,V. Madhusudan Rao,,,Rati Agnihotri,,1981,1981
Kirayi Rowdylu,Kodanda Rami Reddy A.,,,Chiranjeevi,,1981,1981
Kondaveeti Simham,K. Raghavendra Rao,,,N. T. Rama Rao,,1981,1981
Maha Purushudu,P. Lakshmi Deepak,,,N. T. Rama Rao,,1981,1981
Mudda Mandaram,Jandhyala Subramanya Sastry,,,Poornima,,1981,1981
Nyayam Kavali,Kodanda Rami Reddy A.,,,Raadhika,,1981,1981
O Amma Katha,Vasanta Sen,,,Sharada,,1981,1981
Oorukichchina Maata,Balaiah M.,,,Chiranjeevi,,1981,1981
Ooruki Monagadu,K. Raghavendra Rao,,,Raogopalrao,,1981,1981
Pakkinti Ammayi,K. Vasu,,,Jayasudha,Comedy,1981,1981
Parvathi Parameswarulu,M. S. Koti Reddy,,,Chiranjeevi,,1981,1981
Patalam Pandu,,,,Mohan Babu,,1981,1981
Prema Mandiram,Dasari Narayana Rao,,,Akkineni Nageshwara Rao,,1981,1981
Prema Natakam,Subba Rao Katta,,,Sharada,,1981,1981
Prema Pichchi,C. V. Rajendran,,,Rati Agnihotri,,1981,1981
Prema Simhasanam,Dasari Narayana Rao,,,N. T. Rama Rao,,1981,1981
Premabhishekam,Dasari Narayana Rao,,,Akkineni Nageshwara Rao,,1981,1981
Priya,S. P. Chitti Babu,,,Chiranjeevi,,1981,1981
Puli Bidda,V. Madhusudan Rao,,,Krishnam Raju,,1981,1981
Radha Kalyanam,Bapu,,,Chandramohan,,1981,1981
Ragile Jwala,K. Raghavendra Rao,,,Krishnam Raju,,1981,1981
Amavasya Chandrudu,Singeetam Srinivasa Rao,,,Kamal Haasan,,1981,1981
Rani Kasula Rangamma,T. L. V. Prasad,,,Chiranjeevi,,1981,1981
Sandhya Ragam,A. S. Ramachandra Rao,,,Gummadi,,1981,1981
Saptapadi,Kashinathuni Vishwanath,,,J. V. Somayajulu,,1981,1981
Satyabhama,K. Raghavendra Rao,,,Chandramohan,,1981,1981
Satyam Shivam,K. Raghavendra Rao,,,N. T. Rama Rao,,1981,1981
Seethakoka Chilaka,Bharathiraja,,,Karthik,,1981,1981
Siddhalingeshwara Mahima,Hunsur Krishnamurthy,,,,,1981,1981
Srirasthu Subhamasthu,Katta Subba Rao,,,Chiranjeevi,,1981,1981
Swapna,Dasari Narayana Rao,,,Swapna,,1981,1981
Taxi Driver,S. P. Chitti Babu,,,Krishnam Raju,,1981,1981
Tirugu Leni Manishi,K. Raghavendra Rao,,,Rati Agnihotri,,1981,1981
Todu Dongalu,K. Vasu,,,Krishna,,1981,1981
Tyagayya,Bapu,,,J. V. Somayajulu,,1981,1981
Viswaroopam,Dasari Narayana Rao,,,N. T. Rama Rao,,1981,1981
Pranaya Geetham,P. Sambasiva Rao,,,Chandra Mohan,,1981,1981
Gaja Donga,K. Raghavendra Rao,,,N. T. Rama Rao,,1981,1981
Prema Kanuka,K. Raghavendra Rao,,,Akkineni Nageswara Rao,,1981,1981
Srivari Muchatlu,Dasari Narayana Rao,,,Akkineni Nageswara Rao,,1981,1981
Bhakta Tulasidas,Lanka Satyam,Sri Raja Rajeswari Films,B. Narasimha Rao,K. Raghuramaiah,Biography,"10 April 1946
",1946
Griha Pravesam,L. V. Prasad,"Saradhi Films
",Nalini Kanta Rao,L. V. Prasad,Drama,"10 October 1946
",1946
Mangalasutram,D. N. Kotnis,"Prabhakar Productions
",P. Muniswamy,"K. Prabhakar Rao, ",Drama,"12 December 1946
",1946
Mugguru Maratilu,Ghantasala Balaramayya,"Pratibha Productions
",Ogirala Ramachandra Rao,A. Nageswara Rao,Historical,"31 May 1946
",1946
Narada Naradhi,C. Pullaiah,"Jaganmani Productions
",Susarla Dakshinamurthi,Mudigonda Lingamurthy,Mythology,"6 April 1946
",1946
Returning Soldier,,"Victory Films
",,,,"
",1946
Sethu Bandhanam,R. Padmanabhan,"Jyothi Pictures
",Susarla Dakshinamurthi,"M. Ramana Rao, ",Epic,"
",1946
Tyagayya,Chittor V. Nagaiah,"Renuka Films
",Chittor V. Nagaiah,Chittor V. Nagaiah,Biography,"1 November 1946
",1946
Vanarani,A. Surya,"
",,G. Varalakshmi,Folklore,"
",1946
Brahma Ratham,Ch. Narayana Murthy,"Venkatarama Pictures
","T. A. Motibabu
",K. Raghuramaiah,"Mythology
","29 October 1947
",1947
Gollabhama,C. Pullaiah,"Sobhanachala Pictures
",S. B. Dinakara Rao,K. Raghuramaiah,"Folklore
","22 February 1947
",1947
Palnati Yuddham,"Saradhi Films
",L. V. Prasad,Gali Penchala Narasimha Rao,Govindarajula Subba Rao,"Historical
","24 September 1947
",1947
Radhika,"Sri Chatrapathi Pictures
","K. Sadasiva Rao
",S. Hanumantha Rao,K. Raghuramaiah,"Mythology
","20 February 1947
",1947
Varudhini,"B. V. Ramanandam
","Ananda Pictures
","K. Bhujanga Rao
",S. V. Ranga Rao,"Mythology
","11 January 1947
",1947
Yogi Vemana,K. V. Reddy,Vauhini Studios,Chittor V. Nagaiah,Chittor V. Nagaiah,"Biopic
","10 April 1947
",1947
Balaraju,Ghantasala Balaramayya,"Prathibha Productions
",Gali Penchala Narasimha Rao,A. Nageswara Rao,"Folklore
","26 February 1948
",1948
Bhakta Sriyala,"G. Ramakrishna Rao
","
","Subrahmanya Devara
",C. S. R. Anjaneyulu,"Devotional
","30 June 1948
",1948
Drohi,L. V. Prasad,"Swatantra Films
",Pendyala Nageswara Rao,C. Lakshmi Rajyam,"Drama
","10 December 1948
",1948
Geetanjali,"T. Hanumantha Rao
","Shyamala Films
","K. Prakasa Rao
","Jandhyala Gaurinatha Sastry, ","Drama
","5 March 1948
",1948
Madalasa,Ch. Narayana Murthy,"Sri Sobhanachala Pictures
",S. Hanumantha Rao,K. Raghuramaiah,"Mythology
","29 May 1948
",1948
Ratnamala,Bharani Pictures,P. S. Ramakrishna Rao,C. R. Subburaman,P. Bhanumathi,C. R. Subburaman,"2 January 1948
",1948
Suvarnamala,"K. Sadasiva Rao
","Suvarnalata Pictures
","Addepalli Rama Rao
",R. Balasaraswathi,"Drama
","15 August 1948
",1948
Vindhyarani,C. Pullaiah,"Vyjayanthi Pictures
",S. Rajeswara Rao,"Ramana Rao, ","Mythology
","14 January 1948
",1948
Abhisyanta Kalapam,"H. V. Babu
","
","
","
","
","
",1949
Apna Desh,V. Shantaram,Rajkamal Kalamandir,Purushottam,"Pushpa Hans, Umesh Sharma, ","Social
","17 July 1949
",1949
Dharmangadha,"H. V. Babu
","Swastik Films
",Gali Penchala Narasimha Rao,Govindarajula Subba Rao,"Drama
","1 October 1949
",1949
Gunasundari Katha,K. V. Reddy,Vauhini Studios,Addepalli Rama Rao,Govindarajula Subba Rao,"Folklore
","28 December 1949
",1949
Keelu Gurram,"Raja of Mirzapur
","Sobhanachala Pictures
",Ghantasala,A. Nageswara Rao,"Folklore
","19 February 1949
",1949
Laila Majnu,P. S. Ramakrishna Rao,Bharani Pictures,C. R. Subburaman,A. Nageswara Rao,"Romance
","1 October 1949
",1949
Mana Desam,L. V. Prasad,"M. R. A. Productions
",Ghantasala,Chittor V. Nagaiah,"Social
","24 November 1949
",1949
Raksha Rekha,"R. Padmanabhan
","R. Padmanabhan Productions
",Ogirala Ramachandra Rao,A. Nageswara Rao,"Folklore
","30 April 1949
",1949
Aahuti,"Naveena Films
","R. S. Junnarkar
",S. Rajeswara Rao,Aarani Satyanarayana,"Drama
","22 June 1950
",1950
Adhrusta Deepudu,"T. N. T. Productions
","S. Soundararajan
","Addepalli Rama Rao
",Suryakumari,"Drama
","27 October 1950
",1950
Apoorva Sahodarulu,Gemini Studios,C. Pullaiah,S. Rajeswara Rao,M. K. Radha,"Action
","14 January 1950
",1950
Beedala Patlu,Pakshiraja Studios,K. Ramnoth,S. M. Subbaiah Naidu,V. Nagaiah,"Social
","9 December 1950
",1950
Jeevitham,AVM Productions,A. V. Meiyappan,"R. Sudarsanam
",Vyjayanthimala,"Drama
","14 July 1950
",1950
Lakshmamma,"Sobhanachala & M. R. A. Productions
",T. Gopichand,Ghantasala,C. H. Narayana Rao,"Folklore
","26 February 1950
",1950
Maaya Rambha,"N. B. Productions
","T. P. Sundaram
",Ogirala Ramachandra Rao,Anjali Devi,"Folklore
","22 September 1950
",1950
Modhati Rathri,Prakash Productions,K. S. Prakash Rao,Pendyala Nageswara Rao,G. Varalakshmi,"Drama
","9 June 1950
",1950
Palletoori Pilla,"Sobhanachala & B. A. S. Productions
",B. A. Subba Rao,P. Adinarayana Rao,A. Nageswara Rao,"Folklore
","27 April 1950
",1950
Paramanandayya Sishyulu,"Allied productions
",Kasturi Siva Rao,Ogirala Ramachandra Rao,A. Nageswara Rao,"Comedy
","6 October 1950
",1950
Raja Vikrama,"Kempraj Productions
","Kempraj Urs
","Kempraj Urs, B. Jayamma, ",S. Rajam,"Folklore
","
",1950
Shavukaru,Vijaya Productions,L. V. Prasad,Ghantasala,N. T. Rama Rao,"Social
","7 April 1950
",1950
Samsaram,"Sadhana Productions
",L. V. Prasad,Susarla Dakshinamurthi,A. Nageswara Rao,"Social
","29 December 1950
",1950
Sri Lakshmamma Katha,"Prathibha Productions
",Ghantasala Balaramayya,C. R. Subburaman,A. Nageswara Rao,"Folklore
","26 February 1950
",1950
Sri Saibaba,"Unity Pictures
","Pattabhi
","Mallikarjun (Mallik)
","Mannava Ramachandra Rao, Adhanki Srirama Murthy, Hemalatha, ","Devotional
","21 December 1950
",1950
Swapna Sundari,"Prathibha Productions
",Ghantasala Balaramayya,C. R. Subburaman,A. Nageswara Rao,"Fantasy
","9 November 1950
",1950
Thirugubatu,"Ragini Films
",P. Pullaiah,"Bhimavarapu Narasimha Rao
",C. H. Narayana Rao,"Social
","19 March 1950
",1950
Vaali – Sugreeva,"Asoka Movies
","Jampana
",S. Rajeswara Rao,C. S. R. Anjaneyulu,"Devotional
","19 January 1950
",1950
Anantha Ragalu,"Prabhakar (Story/Screenplay/Direction) Dialogues: Kompella Viswam
","Sree Sankuchakra Movies
","Sivaji Raja
","Prabhakar, Subhakar, Mohan Rao, Subrahmanyam, Bhanupriya, Rajyalakshmi, Purnima, Rohini
","College Romantic
","3 December 1982
",1982
Andagaadu,"T. N. Balu
","Balu Cine Art
","Ilaiyaraja
",Kamal Haasan,,"6 February 1982
",1982
Amara Geetham,R. Sundarrajan,"Goteti Films
",laiyaraaja,Mohan,"
","3 September 1982
",1982
Anuraga Devatha,"Tatineni Rama Rao
","Rama Krishna Cine Studios
","Chakravarthy
",N. T. Rama Rao,Romance,"9 January 1982
",1982
Aththaku Thagga Allullu,Rama Narayanan,"Lavanya Arts
","J. V. Raghavulu
","Vijayasanthi, Radha, Suresh, Murali, Raja Sulochana,
","Comedy/Romance
","7 October 1982
",1982
Bandhalu Anubandhalu,"Bhargav
","Guna Chitra
","K. V. Mahadevan
","Sobhan Babu, Lakshmi, Chiranjeevi, Jaggaiah, Mada, Padmanabham, Pandari Bai
","Drama
","26 November 1982
",1982
Bangaru Bhoomi,"P. Chandrashekar Reddy (Story/Screenplay/Direction)
","Mahaeswari Movies
","J. V. Raghavulu
","Krishna Gattamaneni, Sridevi
",,"14 January 1982
",1982
Bangaru Kanuka,"V. Madhusudhan Rao
","
",,Akkineni Nageswara Rao,Romance,"
",1982
Bangaru Koduku,"
","
",,,,"
",1982
Bhakta Dhruvamarkandeya,"Bhanumathi Ramakrishna (Story/Screenplay/Dialogues/Direction/ Musical Supervision)
","Bharani Pictures
","S. Rajeswara Rao
","Sobhana, Vamsikrishna, Hari, Ravisankar, Rohini, Rani, Rajasyamala, Babu, Suresh etc.
","Devotional (U) Kids movie
","19 November 1982
",1982
Bhakta Gnanadeva,"Hunsur Krishnamurthy
","Praveena Art Pictures
","G. K. Venkatesh
",Jayanthi,"Devotional (U)
","25 December 1982
",1982
Bhale Kapuram,"
","
",,,,"
",1982
Billa-Ranga,"K. S. R. Das
","P.N.R Pictrues
",,"Chiranjeevi, Mohan Babu, Shyamala, Swapna
",,"
",1982
Bobbili Puli,"Dasari Narayana Rao
","
",,"N. T. Rama Rao, Sridevi",patriotic drama,"
",1982
Cancer-Sukhavyadhulu,"Pillai Dialogues: Vituri
","Sastha Productions (Trivandrum)
","Syam
","
","Medical Educational (A)
","26 February 1982
",1982
Chalaki Chellamma,"
","
",,,,"
",1982
Chandamama,"Relangi Narasimha Rao (Direction)
","K.C. Films International
",,"Murali Mohan, Saritha, Mohan Babu, Fatafat
",,"26 June 1982
",1982
Chattamtho Chelagatam,"N. S. Rajbharath Dialogues:- Rajasri
","Sri Vijaya Art Pictures
","Shankar Ganesh
","Rajesh, Baby Anju, Sreenath, Sumangali, Santhikrishna, A. Veerappan, Vani, Jayaram, Madhan
","Crime Thriller
","26 February 1982
",1982
Chilipi Chinnodu,"Rangarajan
","
","Ilaiyaraja
","
","
","18 June 1982
",1982
Chilipi Vayasu,"M. A. KazaThis column needs further ref work, is a Tamil Dubbed movie, (Raadhika as press reporter), should have the following actors, actresses - Padmanabham, Suryakantham, Rama Prabha
","Jaya Padma Movies
","Shankar Ganesh
",Sudhakar,"(A) CBFC 12 November 1980
","26 March 1982
",1982
Devatha,"K. Raghavendra Rao
","Suresh Productions
","Chakravathy
",Sobhan Babu,"(A)
","10 September 1982
",1982
Dharma Vaddi,"K. B. Tilak
","Roopachitra Kalamandir
","Pendyala
","Jaggaiah, Krishnaveni, Saichand, Sudhakar, Nutan Prasad
","(U) CBFC 31 December 1981
","20 March 1982
",1982
Doctor Cine Actor,"
","
",,,,"
",1982
Doctor Malathi,"
","
",,,,"
",1982
Dongalosthunnaru Jagratta,"R. Thygarajan
","Ramana Art Films
","
","
","
","2 April 1982
",1982
Edhi Dharmam Edhi Nyayam,"
","
",,,,"
",1982
Ee Charithra Ye Siratho,"Vejella Satyanarayana (Screenplay/Direction)
","Sai Lakshmi Films
","Sivaji Raaja
","Siva Krishna, Sai Chand, Gokina Rama Rao, P. L. Narayana, Ranganadh, Anupama
",,"
",1982
Ee Kaalam Katha,"
","
",,,,"
",1982
Eenadu,"
","
",,,,"
",1982
Eeswara Kataksham,"A. P. Nagarajan
","Sebari Art Pictures
","
","K. B. Sundarambal, ","Devotional (U) CBFC missing
","22 January 1982
",1982
Ekalavya,"
","
",,,,"
",1982
Emandoyi Srimathigaru,"
","
",,,,"
",1982
Entha Gaatu Premayo,"
","
",,,,"
",1982
Evandoy Srimathi Garu,"Relangi Narasimha Rao
","Raja Lakshmi Combines
","Krishna - Chakra
","Chandra Mohan Raadhika, Giri Babu, K. Vijaya
","
","5 February 1982
",1982
Garuda Rekha,"P. S. Prakash
","Ramgopal Enterprises
","Satyam
","Srinath, Ambika, Madhavi, K. Vijaya, Dinesh, Vajramuni, Tiger Prabhakar,  Shakti Prasad,
","
","CBFC 8 October 1982 12 November 1982
",1982
Golkonda Abbulu,"Dasari Narayana Rao
","Lakshmi Devi Films
","K. V. Mahadevan
","Krishnam Raju
","(U)
","25 August 1982
",1982
Gopala Krishnudu,"A. Kodandamari Reddy
","
",,"Akkineni Nageswara Rao, Jayasudha, ",,"
",1982
Grama Kakshalu,"V. C. Guhanathan (Story/Screenplay/Direction)
","Suresh Enterprises
","Ilaiyaraja
","Rajanikanth, Sridevi, Sripriya, Vijayakuma, Jaishankar
","
","30 July 1982
",1982
Gruha Pravesam,"
","
",,,,"
",1982
Hanthakulaku Saval,S. P. Muthuraman,"Narayana Art Movies
","Ilaiyaraja
","Rajanikanth, Rati Agnihotri, Sumalatha, V. K. Ramaswamy, Cho Ramaswamy
","
","3 December 1982
",1982
Himabindu,,,,,"
","6 March 1982
",1982
Iddaru Kodukulu,"
","
",,,,"
",1982
Idi Pellantara,"D. Vijaya Bhaskar
","
",,Chiranjeevi,,"
",1982
Illali Korikalu,"G. Raam Mohan Rao
","Babu Arts
","Chakravathy
","Sobhan Babu, Jaya Sudha, Satyanarayana, Nirmala, Saroja, Rohini, Dr. M. Prabhakar Reddy
","(U)
","28 October 1982
",1982
Illanta Sandadi,"Relangi Narasimha Rao
","Rajalakshmi Combines
","Krishna  - Chakra
","Chandra Mohan, Nutan Prasad, Prabha, Nirmala, Suvarna, Dr. M. Prabhakar Reddy, ","(U) CBFC 16 July 1982
","14 November 1982
",1982
Intlo Ramayya Veedhilo Krishnayya,"Kodi Ramakrishna
","
",,Chiranjeevi,,"
",1982
Jagannadha Rathachakralu,"
","
",,,,"
",1982
Jaggu,"
","
",,,,"
",1982
Jai Mahakali,"Babubhai Mistri
","T.G.P. Art Pictures
","A. A. Raj
","Vikram Gokhale, Ranjana Deshmukh, Hercules, Dinesh Hingoo
","Devotional (U)
","22 October 1982
",1982
Jai Santhoshi Matha,"Vijay Sharma
","Choodamani Combines
","C. Arjun & A. A. Raj
","Anita Guha, Ashish Kumar, Kanan Kaushal, Rajan Haksar, Leela Mishra, Manhar Desai, Mahipal, Trilok Kapoor
","Devotional (U)
","4 June 1982
",1982
Jayamalini,"A. Jagananathan
","Mas Combines
","Shankar Ganesh
","Jayamalini, Jayachitra, Jai Ganesh, Srikanth
","(A) CBFC 15 September 1982
","15 October 1982
",1982
Jayasudha,"K. V. Nandana Rao
","Taraka Prabhu Films
","Ramesh Naidu
","Jaya Sudha
",,"1 January 1982
",1982
Justice Chowdary,"K. Raghavendra Rao
","
",,"N. T. Rama Rao, Sridevi, Sharada, Jayanthi",romance,"
",1982
Kadali Vachina Kanaka Durga,"K. S. Reddy
","Surekha Enterprises
","Satyam
","Kavitha, Prasad Babu, Allu Rama Lingaiah, Ramana Murthy, Padmanbham, Sakshi Ranga Rao, Suryakantam
","(U) CBFC 19 August 1982
","20 November 1982
",1982
Kalahala Kapuram,"
","
",,,,"
",1982
Kalavari Samsaram,"K. S. Rami Reddy
","
","K. V. Mahadevan
",Krishna,drama,"3 December 1982
",1982
Kaliyuga Ramudu,"K. Bapaiah
","
",,"N. T. Rama Rao, ","action, crime","
",1982
Kayyala Ammayi Kalavari Abbayi,"C. Venakata Ganesh
","Sri Dakshayani Creations
","Krishna-Chakra
","Chandra Mohan, Raadhika, Satyanarayana, Allu Rama Lingaiah, Nutan Prasad, Ralla Palli, Manjula, Nirmala
","(U) CBFC Comedy
","3 September 1982
",1982
Korukunna Mogudu,"Katta Subba Rao
","Vishnupriya Productions
","Satyam
","Sobhan Babu, Lakshmi, Jayasudha, Nutan Prasad, Kaikala Satyanarayana
","Family Drama (U)
","12 June 1982
",1982
Kotha Neeru,K. S. Prakasa Rao,"Chitra Sahithi
","Ramesh Naidu
","Chandra Mohan, Deepa, Kakarala, Allu Rama Lingaiah
","(A) CBFC 7 February 1981
","7 November 1982
",1982
Krishnarjunulu,"
","
",,,,"
",1982
Krishnavataram,"Bapu (Direction)
","Chitra Kalpana Films
","K. V. Mahadevan
","Krishna, Sridevi, Vijayasanthi, K. Vijaya, P. R. Varalakshmi, Ramana Murthy,  Vijaya Sumitra
",,"22 September 1982
",1982
Madhura Swapnam,"K. Raghavendra Rao
","Gopi Krishna Movies
","Satyam
",Krishnam Raju,,"14 January 1982
",1982
Mahanati,"S. R. Puttanna Kanagal
","Venkata Krishna Films
",M. Ranga Rao,Ambarish,"
","2 October 1982
",1982
Mahaprasthanam,"K. Hemambaradara Rao
","Naveena Art Pictures
","Chakravarthy
",,,"25 June 1982
",1982
Malle Pandhiri,"
","
",,,,"
",1982
Manchu Pallaki,Vamsy,"Godavari Chitra
",Rajan-Nagendra,"Chiranjeevi, Suhasini, Rajendra Prasad, Sai-chand","(U) CBFC 16 November 1982
","20 November 1982
",1982
Mantralaya Raghavendra Vaibhavam,"
","
",,,,"
",1982
Maro Malupu,"Vejella Satyanarayana
","
",,Gummadi Venkateswara Rao,social,"
",1982
Meghasandesam,"Dasari Narayana Rao
","
",,"Akkineni Nageswara Rao, Jaya Prada, Jayasudha",drama,"
",1982
Mettela Savvadi,J. Mahendran,"Lakshmi Nilaya Films
",Ilaiyaraaja,"Sarath Babu, Raadhika
","(U) CBFC 22 November 1982
","27 November 1982
",1982
Mondi Ghatam,"Raja Chandra
","Anantha Lakshmi International
","Satyam
","Chiranjeevi, Raadhika, Kaikala Satyanarayana Gummadi, Annapurna, Rallapalli, Ravi Kondala Rao
","(A) CBFC 17 August 1982
","6 November 1982
",1982
Musalodiki Dasara Panduga,S. P. Muthuraman,"Sri Vigneswara Cine Art Creations
","Ilaiyaraaja
",Rajinikanth,"
","15 May 1982
",1982
Naa Desam,K. Bapaiah,"Pallavi Devi Productions
","Chakravarthy
","N. T. Rama Rao, ","(A) CBFC 11 October 1982
","27 October 1982
",1982
Naa Pere Johnny,J. Mahendran,"Trisul International
",Ilaiyaraaja,Rajinikanth,"
","
",1982
Nalugu Sthambalata,"Jandhyala
","
",,Naresh,drama,"
",1982
Neethi Devan Mayakkam,Bapu,"
",,Bhanu Chander,,"
",1982
Nipputo Chelagaatam,Kommineni Seshagiri Rao,"
",,Krishnam Raju,,"
",1982
Nireekshana,Balu Mahendra,"
",,Bhanu Chander,,"
",1982
Nivuru Gappina Nippu,"
","
",,,,"
",1982
O Adadhi O Magadu,"Dasari Narayana Rao
","Kaviratna Movies
","M. S. Viswanathan
","Alekhya, Ravindra, Balaji, Shahida, Srihari Murthy, Nagurbabu
",,"27 October 1982
",1982
Pagabattina Bebbuli,"S. V. Rajendra Singh Babu
","Sri Vigneswari Cine Art Creations
","Satyam
","Arjun, Aruna, Jayanthi, Amrish Puri, Fighter Shetty etc.,
","
","12 November 1982
",1982
Pagabattina Simham,"P. Chandrasekhara Reddy
","Chandra Cine Arts
","Satyam
","Krishna, Jaya Prada, Prabha, Geetha, Prasad Babu, Satyanarayana, etc.
",,"3 September 1982
",1982
Palletoori Simham,S. P. Muthuraman,"Sujatha Films (P) Ltd
","Ilaiyaraaja
","Kamal Haasan, Ambika, Silk Smitha
","(U) CBFC 2 December 1982
","10 December 1982
",1982
Propakari Papanna,"D. S. Prakasa Rao (Screenplay/Direction)
","Sri Tirumala Nagore Combines
","S. Hanumantha Rao
","Chandra Mohan, Kaikala Satyanarayana
","(A) CBFC 20 October 1982
","
",1982
Patnam Mogudu Palletoori Pellam,T. S. B. K. Moulee,"T.V. International
",Shyam,Prathap K. Pothan,"
","30 April 1982
",1982
Patnam Vachina Pativrathalu,T. S. B. K. Moulee,"
",,Chiranjeevi,,"
",1982
Pelleedu Pillalu,Bapu,"Annapurna Pictures (P) Ltd.
","M. S. Viswanathan
",Suresh,,"23 July 1982
",1982
Pellilla Perayya,"Kommineni
","G.V.K Combines
","J. V. Raghavulu
","Chandra Mohan, Kaikala Satyanarayana, Giri Babu, Aruna, Prabha, Narayana Rao, Kavitha, Nutan Prasad, Krishnaveni, PL. Narayana, Sakshi Ranga Rao, Jyothilakshmi
","Comedy (U)
","18 June 1982
",1982
Poola Pallaki,"C. Umamaheswara Rao (Screenplay/Direction)
","Sri Durga Movie Enterprises
","Ilaiyaraaja
","Nalinikanth, Bhanuchandar, Prathap K Pothan, Aruna, Karate Lakshmi, Sridhar, Eeswar
",,"9 October 1982
",1982
Pralaya Rudrudu,"A. Kodhanda Rami Reddy
","Viswa Chitra Cine Enterprises
","Chakravarthy
","Krishnam Raju, Mohan Babu, Narayana Rao, Rao Gopala Rao, Dr. M. Prabhakar Reddy Jayaprada, Aruna
","(A) CBFC 25 November 1982
","10 December 1982
",1982
Prathikaram,"
","
",,,,"
",1982
Pratigya,"
","
",,,,"
",1982
Prema Murthulu,"
","
",,,,"
",1982
Prema Nakshatram,"P. Sambasiva Rao
","Hema International
",,"Krishna, Sridevi, Manjula, Prasad Babu, Sulaks-hana
","(A)
","
",1982
Prema Sankellu,"Vijaya Nirmala (Screenplay/Direction)
","Sri Vijaya Krishna Movies
",,"Naresh, Syamala Gowri, Jaggaiah, Manjula, Subha, Satyanarayana, Jyothi Lakshmi, Giri Babu
","(U)
","6 November 1982
",1982
Premaku Padhabhishekam,"Durai
","Raghavendra Art Movies
",Vijaya T. Rajendar,"Dileep, Mohan, Poornima Jayaram, Sukumari, Sudha
","
","24 September 1982
",1982
Punyabhumi Kallu Terichindhi,"Devadas Kanakala
","Arunodaya Film International
",,,"Eastman Color
","31 July 1982
",1982
Purandara Dasu,"R. Ramamurthy
","Vijaya Lakshmi Citra
","Pendyala Nageswara Rao
","A movie for kids by kids aged between 10 and 14
","(U) Color Devotional by Child Artist
","10 September 1982
",1982
Raaga Deepam,Dasari Narayana Rao,"Veera Rani Enterprises
","Chakravarthy
",Akkineni Nageswara Rao,,"11 January 1982
",1982
Radha My Darling,"Bairisetty Bhaskara Rao
","
",,Chiranjeevi,,"
",1982
Radhamma Mogudu,"
","
",,,,"
",1982
Rangoon Raja,"G. N. Rangarajan
","Alayamman Creations
","Ilaiyaraaja
","Kamal Haasan, Sujatha, Ambika, Nagesh
","(U) CBFC 19 May 1982
","21 May 1982
",1982
Savaal,"Boyina Subba Rao
","G.V.K. Combines
","Satyam
","Mohan Babu, Sumalatha, Kaikala Satyanarayana, Allu Rama Lingaiah, Giri Babu, Rajyalakshmi, Syamala, Vijaya Lalitha
","(A) CBFC 16 November 1982
","20 November 1982
",1982
Savitri,"Bharathan
","Lena Productions
","M. S. Viswanathan
","Vinodh, Menaka
","
","1 January 1982
",1982
Shamsher Shanker,"K. S. R. Das (Story/Direction)
","Makkal Thilagam Movies
","Satyam
","Krishna, Sridevi
","(U)
","22 October 1982
",1982
Sitadevi,"Eranhi Sharma
","
",,Chiranjeevi,,"
",1982
Sri Lakshmi Nilayam,"
","
",,,,"
",1982
Subbarao Ki Kopam Vachhindi,"Dhavala Satyam
","Doondi
","Satyam
",,,"5 February 1982
",1982
Subhalekha,K. Viswanath,"
",,Chiranjeevi,,"
",1982
